project_KEY,update__staff_KEY,project_number,description,long_description,engagement_KEY,engagement_template__engagement_template_id,engagement_template__engagement_template_id_sortable,engagement__description,engagement__client_KEY,engagement__client__client_description,engagement__client__client_id,engagement__client__client_id_sortable,engagement__engagement_template_KEY,engagement__office_KEY,priority_KEY,priority__description,priority__sort,tracking_description_KEY,tracking_description__description,responsible__staff_KEY,responsible__staff__staff_id,responsible__staff__description,assigned__staff_KEY,assigned__staff__staff_id,assigned__staff__staff_id_sortable,assigned__staff__description,department_KEY,department__department_id,target,completion_event,has_tasks,budgeted_based_on_tasks,budgeted_hours,budgeted_hours_variance,is_over_budgeted_hours,tasks_budgeted_amount,stored_budgeted_amount,calculated_budgeted_amount,percent_complete,percent_complete_is_overridden,received_date,target_start_date,target_complete_date,actual_start_date,actual_complete_date,comments,project_template_KEY,project_template__project_template_id,project_template__project_template_id_sortable,original_due_date,current_due_date,extension_number,is_extended,posted_actual_hours,posted_actual_amount,live_actual_hours,live_actual_amount,has_time_without_task,remaining_hours_adjustment,remaining_hours_adjustment_count,remaining_hours,has_remaining_hours_entries,solution_type_name,completion_event_recorded_date_utc,generate_descriptions_from_project,generate_engagement_from_project,generate_groupings_from_project,generate_assigned_from_project,generate_notes_from_project,generate_tasks_from_project,budget_generation_KEY,generate_budgeted_hours_factor,generate_budgeted_amount_factor,generate_custom_values_from_project,generate_links_from_project,recurring,schedule_item_KEY,assigned_staff_list,assigned_staff_id_list,budgeted_amount_is_calculated,staff_assignment_method_KEY,staff_qualifications__filter_KEY,is_open,extension_event,gofileroom_workflow_KEY,budgeted_amount,budgeted_amount_variance,is_over_budgeted_amount
11,61,10011,Taxation,,14,TAX,TAX,Taxation,3,Plymouth LLC,25616209500,25616209500                              `,5,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",79,2156OH,2156OH,"Hardin, Olly",,,,,TRUE,TRUE,3.75,-0.65,TRUE,445,445,0,1,FALSE,,04/15/2014,04/15/2014,05/30/2013,04/29/2014,,56,1040,1040                      g,04/15/2014,04/15/2014,0,FALSE,4.4,935,4.4,935,TRUE,0,0,-0.65,FALSE,Other,05/17/2013,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,999,1,1,FALSE,FALSE,TRUE,8432,"Hardin, Olly",2156OH,TRUE,1,,FALSE,,,445,-490,TRUE
12,61,10012,Taxation,,13,TAX,TAX,Taxation,2,StoryBook Ventures,25103704500,25103704500                              `,5,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",79,2156OH,2156OH,"Hardin, Olly",,,,,TRUE,TRUE,3.75,-7.9,TRUE,490,490,0,1,FALSE,,04/15/2014,04/15/2014,03/31/2014,04/29/2014,,56,1040,1040                      g,04/15/2014,04/15/2014,0,FALSE,11.65,2111.75,11.65,2111.75,TRUE,0,0,-7.9,FALSE,Other,05/17/2013,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,999,1,1,FALSE,FALSE,TRUE,8436,"Hardin, Olly",2156OH,TRUE,1,,FALSE,,,490,-1621.75,TRUE
13,61,10013,Taxation,,36,TAX,TAX,Taxation,13,WhiteRock Holdings,35062011000,35062011000                              `,5,1,999,Normal,2000,999,Completed,70,3321MC,"Cook, Milo",71,4193AB,4193AB,"Beasley, Anya",,,,,TRUE,TRUE,3.75,-5.69,TRUE,450,450,0,1,FALSE,,10/15/2014,10/15/2014,02/14/2014,10/31/2014,,56,1040,1040                      g,04/15/2014,10/15/2014,1,TRUE,9.44,1651.5,9.44,1651.5,TRUE,0,0,-5.69,FALSE,Other,05/17/2013,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,999,1,1,FALSE,FALSE,TRUE,6796,"Beasley, Anya",4193AB,TRUE,1,,FALSE,,,450,-1201.5,TRUE
14,61,10014,Outsourced CFO,,19,OCFO,OCFO,Outsourced CFO,6,StoryBook Ventures,22422573000,22422573000                              `,6,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",,,,,,,,,TRUE,TRUE,15,4.2,FALSE,2755,2755,0,0.72,FALSE,,03/31/2017,03/31/2017,03/18/2017,01/04/2018,,99,COMPNODISC,COMPNODISC,03/31/2017,03/31/2017,0,FALSE,10.8,1750,10.8,1750,TRUE,0,0,4.2,FALSE,Other,09/30/2016,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,TRUE,234890,,,TRUE,1,,FALSE,,,2755,1005,FALSE
15,61,10015,Outsourced CFO,,19,OCFO,OCFO,Outsourced CFO,6,StoryBook Ventures,22422573000,22422573000                              `,6,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",,,,,,,,,TRUE,TRUE,15,-0.2,TRUE,2890,2890,0,1,FALSE,,03/31/2018,03/31/2018,02/09/2018,12/31/2018,,99,COMPNODISC,COMPNODISC,03/31/2018,03/31/2018,0,FALSE,15.2,2939,15.2,2939,TRUE,0,0,-0.2,FALSE,Other,09/30/2017,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,TRUE,324193,,,TRUE,1,,FALSE,,,2890,-49,TRUE
16,61,10016,Payroll,,97,PAYROLL,PAYROLL,Payroll,14,Plymouth LLC,35909826000,35909826000                              `,1,1,999,Normal,2000,999,Completed,73,4831LC,"Clark, Lucia",,,,,,,,,TRUE,TRUE,7,-5.5,TRUE,796.5,796.5,0,1,FALSE,,12/31/2018,12/31/2018,02/13/2018,01/31/2019,,397,PAYROMTHLY,PAYROMTHLY,12/31/2018,12/31/2018,0,FALSE,12.5,1519,12.5,1519,FALSE,0,0,-5.5,FALSE,Other,12/31/2017,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,999,1,1,FALSE,FALSE,FALSE,368600,,,FALSE,1,,FALSE,,,796.5,-722.5,TRUE
17,61,10017,Taxation,,9,TAX,TAX,Taxation,18,Treehouse Ventures,32626342500,32626342500                              `,5,1,999,Normal,2000,999,Completed,76,4337JW,"Ward, Jaime",,,,,2,Tax,,,TRUE,TRUE,1.5,-6,TRUE,162.5,162.5,0,1,FALSE,,03/16/2020,03/16/2020,02/20/2020,02/02/2023,,57,TAXAMENDTR,TAXAMENDTR,03/15/2020,03/15/2020,0,FALSE,7.5,1245,7.5,1245,FALSE,0,0,-6,FALSE,Other,02/17/2020,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,FALSE,560866,,,TRUE,1,,FALSE,,,162.5,-1082.5,TRUE
18,61,10018,Taxation,,10,TAX,TAX,Taxation,19,Plymouth LLC,30923067000,30923067000                              `,5,1,999,Normal,2000,999,Completed,76,4337JW,"Ward, Jaime",,,,,2,Tax,,,TRUE,TRUE,1.5,-3.4,TRUE,162.5,162.5,0,1,FALSE,,03/02/2020,03/02/2020,02/29/2020,02/02/2023,,57,TAXAMENDTR,TAXAMENDTR,02/29/2020,02/29/2020,0,FALSE,4.9,1165,4.9,1165,FALSE,0,0,-3.4,FALSE,Other,02/19/2020,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,FALSE,560976,,,TRUE,1,,FALSE,,,162.5,-1002.5,TRUE
19,61,10019,Accounting,,99,ACCOUNTING,ACCOUNTING,Accounting,14,Plymouth LLC,35909826000,35909826000                              `,2,1,999,Normal,2000,999,Completed,73,4831LC,"Clark, Lucia",,,,,,,,,TRUE,TRUE,79.33,62.34,FALSE,7547.88,7547.88,0,0.21,FALSE,,01/02/2023,01/02/2023,04/07/2022,03/22/2023,,1571,VPACCOUNTIN,VPACCOUNTIN,12/31/2022,01/02/2023,0,FALSE,16.99,2902.3,16.99,2902.3,TRUE,0,0,62.34,FALSE,Other,03/27/2022,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,999,1,1,FALSE,FALSE,TRUE,750426,,,FALSE,1,,FALSE,,,7547.88,4645.58,FALSE
20,61,10020,Accounting,,101,ACCOUNTING,ACCOUNTING,Accounting,26,Treehouse Ventures,24744118500,24744118500                              `,2,1,999,Normal,2000,999,Completed,71,4193AB,"Beasley, Anya",,,,,,,,,TRUE,TRUE,32.4,0.41,FALSE,3796.8,3796.8,0,0.99,FALSE,,01/02/2023,01/02/2023,03/25/2022,03/22/2023,,1571,VPACCOUNTIN,VPACCOUNTIN,12/31/2022,01/02/2023,0,FALSE,31.99,4390.1,31.99,4390.1,TRUE,0,0,0.41,FALSE,Other,03/27/2022,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,999,1,1,FALSE,FALSE,TRUE,750525,,,FALSE,1,,FALSE,,,3796.8,-593.3,TRUE
21,61,10021,Accounting,,93,ACCOUNTING,ACCOUNTING,Accounting,1,Treehouse Ventures,25984038000,25984038000                              `,2,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",,,,,,,,,TRUE,FALSE,0,-1,TRUE,175,0,0,1,FALSE,,09/12/2017,10/11/2017,10/12/2017,01/04/2018,,987,QBOCONVRSN,QBOCONVRSN,10/12/2017,10/12/2017,0,FALSE,1,135,1,135,TRUE,0,0,-1,FALSE,Other,10/12/2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1000,1,1,FALSE,FALSE,FALSE,325291,,,FALSE,1,,FALSE,,,0,-135,TRUE
22,61,10022,Accounting,,92,ACCOUNTING,ACCOUNTING,Accounting,4,Plymouth LLC,40922701500,40922701500                              `,2,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",,,,,,,,,TRUE,FALSE,0,-0.5,TRUE,175,0,0,1,FALSE,,09/12/2017,10/11/2017,10/12/2017,01/04/2018,,987,QBOCONVRSN,QBOCONVRSN,10/12/2017,10/12/2017,0,FALSE,0.5,67.5,0.5,67.5,TRUE,0,0,-0.5,FALSE,Other,10/12/2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1000,1,1,FALSE,FALSE,FALSE,325293,,,FALSE,1,,FALSE,,,0,-67.5,TRUE
23,61,10023,Payroll,,87,PAYROLL,PAYROLL,Payroll,23,Treehouse Ventures,21747927000,21747927000                              `,1,3,999,Normal,2000,999,Completed,,,,,,,,,,,,TRUE,TRUE,0,-4.04,TRUE,0,0,0,1,FALSE,,05/30/2022,06/29/2022,02/10/2022,10/06/2022,,1751,ERC,ERC,06/30/2022,06/30/2022,0,FALSE,4.04,486.1,4.04,486.1,TRUE,0,0,-4.04,FALSE,Other,02/10/2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1000,1,1,FALSE,FALSE,FALSE,746131,,,TRUE,1,,FALSE,,,0,-486.1,TRUE
24,61,10024,Payroll,,97,PAYROLL,PAYROLL,Payroll,14,Plymouth LLC,35909826000,35909826000                              `,1,1,999,Normal,2000,999,Completed,,,,,,,,,,,,TRUE,TRUE,0,-4,TRUE,0,0,0,1,FALSE,,03/20/2022,06/30/2022,04/20/2022,09/28/2022,,1751,ERC,ERC,04/20/2022,04/20/2022,0,FALSE,4,497.5,4,497.5,TRUE,0,0,-4,FALSE,Other,04/20/2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1000,1,1,FALSE,FALSE,FALSE,765378,,,TRUE,1,,FALSE,,,0,-497.5,TRUE
25,61,10025,Payroll,,97,PAYROLL,PAYROLL,Payroll,14,Plymouth LLC,35909826000,35909826000                              `,1,1,999,Normal,2000,999,Completed,73,4831LC,"Clark, Lucia",,,,,2,Tax,,,TRUE,TRUE,0,-85.81,TRUE,0,0,0,1,FALSE,,12/02/2022,01/02/2023,06/22/2022,03/22/2023,,1572,VPPAYROLL,VPPAYROLL,12/31/2022,01/02/2023,0,FALSE,85.81,11874.8,85.81,11874.8,TRUE,0,0,-85.81,FALSE,Other,06/22/2022,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,999,1,1,FALSE,FALSE,TRUE,768067,,,TRUE,1,,FALSE,,,0,-11874.8,TRUE
26,61,10026,Payroll,,89,PAYROLL,PAYROLL,Payroll,25,StoryBook Ventures,35062011000,35062011000                              `,1,1,999,Normal,2000,999,Completed,73,4831LC,"Clark, Lucia",,,,,2,Tax,,,TRUE,TRUE,0,-5.4,TRUE,0,0,0,1,FALSE,,12/02/2022,01/02/2023,06/27/2022,03/22/2023,,1572,VPPAYROLL,VPPAYROLL,12/31/2022,01/02/2023,0,FALSE,5.4,790.6,5.4,790.6,TRUE,0,0,-5.4,FALSE,Other,06/27/2022,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,999,1,1,FALSE,FALSE,TRUE,768161,,,TRUE,1,,FALSE,,,0,-790.6,TRUE
27,47,10027,Payroll,,66,PAYROLL,PAYROLL,Payroll,4,Big Three Technologies,40922701500,40922701500                              `,1,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",,,,,,,,,TRUE,TRUE,3.25,2.6,FALSE,270,270,0,0.2,FALSE,,01/31/2014,01/31/2014,02/03/2014,02/03/2014,,145,1099,1099                      g,01/31/2014,01/31/2014,0,FALSE,0.65,63.5,0.65,63.5,TRUE,0,0,2.6,FALSE,Other,05/20/2013,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,FALSE,22067,,,TRUE,1,,FALSE,,,270,206.5,FALSE
28,61,10028,Payroll,,97,PAYROLL,PAYROLL,Payroll,14,Plymouth LLC,35909826000,35909826000                              `,1,1,999,Normal,2000,999,Completed,73,4831LC,"Clark, Lucia",,,,,,,,,TRUE,TRUE,3.25,2.25,FALSE,455,455,0,0.31,FALSE,,10/31/2018,10/31/2018,10/02/2018,12/31/2018,,141,Q3PRTAX,Q3PRTAX,10/31/2018,10/31/2018,0,FALSE,1,140,1,140,TRUE,0,0,2.25,FALSE,Other,08/11/2018,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,FALSE,401574,,,TRUE,1,,FALSE,,,455,315,FALSE
29,61,10029,Payroll,,66,PAYROLL,PAYROLL,Payroll,4,Big Three Technologies,40922701500,40922701500                              `,1,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",,,,,,,,,TRUE,TRUE,3.25,3,FALSE,35,35,0,0.08,FALSE,,01/31/2019,01/31/2019,01/10/2019,02/01/2019,,144,Q4PRW2S,Q4PRW2S,01/31/2019,01/31/2019,0,FALSE,0.25,35,0.25,35,TRUE,0,0,3,FALSE,Other,11/30/2018,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,FALSE,436042,,,TRUE,1,,FALSE,,,35,0,FALSE
30,61,10030,Payroll,,66,PAYROLL,PAYROLL,Payroll,4,Big Three Technologies,40922701500,40922701500                              `,1,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",,,,,,,,,TRUE,TRUE,3.25,3,FALSE,410,410,0,0.08,FALSE,,01/31/2019,01/31/2019,01/18/2019,02/09/2019,,145,1099,1099                      g,01/31/2019,01/31/2019,0,FALSE,0.25,32.5,0.25,32.5,TRUE,0,0,3,FALSE,Other,11/30/2018,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,FALSE,436046,,,TRUE,1,,FALSE,,,410,377.5,FALSE
31,61,10031,Payroll,,69,PAYROLL,PAYROLL,Payroll,13,Big Three Technologies,35062011000,35062011000                              `,1,1,999,Normal,2000,999,Completed,70,3321MC,"Cook, Milo",,,,,,,,,TRUE,TRUE,3.25,2.75,FALSE,425,425,0,0.15,FALSE,,01/31/2019,01/31/2019,12/11/2018,02/09/2019,,145,1099,1099                      g,01/31/2019,01/31/2019,0,FALSE,0.5,65,0.5,65,FALSE,0,0,2.75,FALSE,Other,11/30/2018,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,998,1,1,FALSE,FALSE,FALSE,439173,,,TRUE,1,,FALSE,,,425,360,FALSE
32,61,10032,Accounting,,92,ACCOUNTING,ACCOUNTING,Accounting,4,Plymouth LLC,40922701500,40922701500                              `,2,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",,,,,,,,,TRUE,TRUE,6,-0.75,TRUE,700,700,0,1,FALSE,,12/31/2018,12/31/2018,06/28/2018,02/09/2019,,81,ACCOUNTING,ACCOUNTING,12/31/2018,12/31/2018,0,FALSE,6.75,895,6.75,895,TRUE,0,0,-0.75,FALSE,Other,01/11/2018,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,FALSE,370443,,,TRUE,1,,FALSE,,,700,-195,TRUE
33,61,10033,Accounting,,93,ACCOUNTING,ACCOUNTING,Accounting,1,Treehouse Ventures,25984038000,25984038000                              `,2,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",,,,,,,,,TRUE,TRUE,6,-4.15,TRUE,750,750,0,1,FALSE,,12/31/2018,12/31/2018,04/06/2018,02/09/2019,,81,ACCOUNTING,ACCOUNTING,12/31/2018,12/31/2018,0,FALSE,10.15,1416,10.15,1416,TRUE,0,0,-4.15,FALSE,Other,01/11/2018,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,FALSE,370827,,,TRUE,1,,FALSE,,,750,-666,TRUE
34,61,10034,Accounting,,99,ACCOUNTING,ACCOUNTING,Accounting,14,Plymouth LLC,35909826000,35909826000                              `,2,1,999,Normal,2000,999,Completed,73,4831LC,"Clark, Lucia",,,,,,,,,TRUE,TRUE,6,-2.35,TRUE,750,750,0,1,FALSE,,12/31/2018,12/31/2018,06/19/2018,02/09/2019,,81,ACCOUNTING,ACCOUNTING,12/31/2018,12/31/2018,0,FALSE,8.35,1197.5,8.35,1197.5,FALSE,0,0,-2.35,FALSE,Other,01/11/2018,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,FALSE,375334,,,TRUE,1,,FALSE,,,750,-447.5,TRUE
35,61,10035,Accounting,,92,ACCOUNTING,ACCOUNTING,Accounting,4,Plymouth LLC,40922701500,40922701500                              `,2,1,999,Normal,2000,999,Completed,68,2967MN,"Nicholson, Maximilian",,,,,5,Admin,,,TRUE,TRUE,6,2.32,FALSE,840,840,0,0.61,FALSE,,12/31/2020,12/31/2020,04/10/2020,02/17/2022,,81,ACCOUNTING,ACCOUNTING,12/31/2020,12/31/2020,0,FALSE,3.68,449,3.68,449,TRUE,0,0,2.32,FALSE,Other,01/11/2020,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,998,1,1,FALSE,FALSE,FALSE,544535,,,TRUE,1,,FALSE,,,840,391,FALSE
