task_KEY,update__staff_KEY,project_KEY,project__project_number,project__description,project__priority_KEY,project_template__project_template_id,project_template__project_template_id_sortable,engagement__client_KEY,client__client_id,client__client_id_sortable,client__description,engagement_KEY,completion_order,task_order_description,activity_KEY,activity__activity_id,activity__activity_id_sortable,activity__description,activity__activity_method_KEY,staff_KEY,staff__staff_id,staff__staff_id_sortable,staff__description,tracking_description_KEY,tracking_description__description,budgeted_hours,budgeted_hours_variance,is_over_budgeted_hours,stored_budgeted_amount,calculated_budgeted_amount,target_start_date,target_complete_date,actual_start_date,actual_complete_date,target,completion_event,comments,task_template_KEY,solution_type_name,completion_event_recorded_date_utc,task_number,project_template_KEY,posted_actual_hours,posted_actual_amount,live_actual_hours,live_actual_amount,remaining_hours_adjustment,remaining_hours_adjustment_count,remaining_hours,has_remaining_hours_entries,schedule_item_KEY,ready,assigned_staff_list,assigned_staff_id_list,budgeted_amount_is_calculated,description,budgeted_amount,budgeted_amount_variance,is_over_budgeted_amount
11,61,179,10179,Accounting,999,ACCOUNTING,ACCOUNTING,11,37285951500,37285951500                              `,TrustTide Banking,65,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,96,2027MC,2027MC,"Colon, Malachi",999,Completed,5,4,False,675,675,43101,43101,43111,43220,,,,5,Creative Solutions Accounting,42737.53792,137339,81,1,140,1,140,0,0,4,False,278262,False,"Colon, Malachi",2027MC,True,Prepare,675,535,False
12,61,167,10167,Accounting,999,ACCOUNTING,ACCOUNTING,23,25616209500,25616209500                              `,BrightFutures Finance,94,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,63,4463AP,4463AP,"Phelps, Adele",999,Completed,5,2,False,700,700,43830,43830,43528,44012,,,,5,Creative Solutions Accounting,43514.87541,223328,81,3,520,3,520,0,0,2,False,460104,False,"Phelps, Adele",4463AP,True,Prepare,700,180,False
13,61,165,10165,Accounting,999,ACCOUNTING,ACCOUNTING,15,22633971000,22633971000                              `,EcoYield Solutions,85,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,92,4194AM,4194AM,"Murphy, Asia",999,Completed,5,0.57,False,700,700,44196,44196,43916,44286,,,,5,Creative Solutions Accounting,43841.43029,263689,81,4.43,563,4.43,563,0,0,0.57,False,553711,False,"Murphy, Asia",4194AM,True,Prepare,700,137,False
14,61,166,10166,Accounting,999,ACCOUNTING,ACCOUNTING,1,38684554500,38684554500                              `,LedgerLogic Accounting,93,3,3: Other,41,OTHER,OTHER,Other Activity,1,133,3467KS,3467KS,"Slater, Karim",999,Completed,0,-0.5,True,0,0,44196,44196,44561,44561,,,,7,Other,43841.37769,258229,81,0.5,82.5,0.5,82.5,0,0,-0.5,False,544862,False,"Slater, Karim",3467KS,True,Other,0,-82.5,True
15,61,187,10187,Accounting,999,ACCOUNTING,ACCOUNTING,14,29405385000,29405385000                              `,VistaVogue Outlets,99,3,3: Other,41,OTHER,OTHER,Other Activity,1,87,2505CC,2505CC,"Campos, Ciara",999,Completed,0,-9.14,True,0,0,44561,44561,44221,44221,,,,7,Other,44207.31741,304606,81,9.14,1416.7,9.14,1416.7,0,0,-9.14,False,626959,False,"Campos, Ciara",2505CC,True,Other,0,-1416.7,True
16,61,151,10151,Payroll,999,1099,1099,23,25616209500,25616209500                              `,BrightFutures Finance,87,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,74,3230IG,3230IG,"Gentry, Isobel",999,Completed,0.25,0.04,False,68.75,68.75,44228,44228,44223,44249,,,,30,Creative Solutions Accounting,44166.40044,301177,145,0.21,0,0.21,0,0,0,0.04,False,621666,False,"Gentry, Isobel",3230IG,True,Review,68.75,68.75,False
17,61,159,10159,Payroll,999,1099,1099,4,27956983500,27956983500                              `,WealthWave Advisors,66,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,61,2014HM,2014HM,"Moss, Haleema",999,Completed,0.25,0.15,False,30,30,42401,42401,42383,42445,,,,30,Creative Solutions Accounting,42371.58488,101243,145,0.1,11.5,0.1,11.5,0,0,0.15,False,205047,False,"Moss, Haleema",2014HM,True,Review,30,18.5,False
18,61,218,10218,Taxation,999,1065F,1065F,23,25616209500,25616209500                              `,BrightFutures Finance,84,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,57,3373NR,3373NR,"Rios, Nate",999,Completed,0.5,-0.25,True,85,85,43525,43525,43537,43819,,,,38,2018 UltraTax CS,43514.87541,223326,237,0.75,127.5,0.75,127.5,0,0,-0.25,False,460101,False,"Rios, Nate",3373NR,True,Review,85,-42.5,True
19,61,140,10140,Payroll,999,Q4PRW2S,Q4PRW2S,4,27956983500,27956983500                              `,WealthWave Advisors,66,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,61,2014HM,2014HM,"Moss, Haleema",999,Completed,0.25,-0.25,True,28.75,28.75,42037,42037,42035,42042,,,,,Creative Solutions Accounting,41975.50205,55104,144,0.5,57.5,0.5,57.5,0,0,-0.25,False,98888,False,"Moss, Haleema",2014HM,True,Review,28.75,-28.75,True
20,61,140,10140,Payroll,999,Q4PRW2S,Q4PRW2S,4,27956983500,27956983500                              `,WealthWave Advisors,66,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,3,4686CD,4686CD,"Dennis, Carol",999,Completed,3,1.75,False,375,375,42037,42037,42023,42042,,,,,Creative Solutions Accounting,41975.50205,55103,144,1.25,156.25,1.25,156.25,0,0,1.75,False,98887,False,"Dennis, Carol",4686CD,True,Prepare,375,218.75,False
21,61,208,10208,Taxation,999,1120S,1120S,19,26265427500,26265427500                              `,BrightHorizon Enterprises,10,3,3: Other,41,OTHER,OTHER,Other Activity,1,87,2505CC,2505CC,"Campos, Ciara",999,Completed,0.25,0.02,False,37.5,37.5,44270,44270,44418,44575,,,,20,2019 UltraTax CS,44165.61204,297604,106,0.23,35.65,0.23,35.65,0,0,0.02,False,616896,False,"Campos, Ciara",2505CC,True,Other,37.5,1.85,False
22,61,200,10200,Taxation,999,1120S,1120S,12,25103704500,25103704500                              `,ProsperPath Investments,12,3,3: Other,41,OTHER,OTHER,Other Activity,1,87,2505CC,2505CC,"Campos, Ciara",999,Completed,0.25,0.09,False,37.5,37.5,44270,44270,44418,44575,,,,20,2019 UltraTax CS,44165.61206,297607,106,0.16,24.8,0.16,24.8,0,0,0.09,False,616900,False,"Campos, Ciara",2505CC,True,Other,37.5,12.7,False
23,61,203,10203,Taxation,999,1120S,1120S,12,25103704500,25103704500                              `,ProsperPath Investments,12,3,3: Other,41,OTHER,OTHER,Other Activity,1,87,2505CC,2505CC,"Campos, Ciara",999,Completed,0.25,0.13,False,38.75,38.75,44635,44635,44607,44963,,,,20,2020 UltraTax CS,44530.51363,381518,106,0.12,18.6,0.12,18.6,0,0,0.13,False,732143,False,"Campos, Ciara",2505CC,True,Other,38.75,20.15,False
24,61,145,10145,Payroll,999,Q2PRTAX,Q2PRTAX,14,29405385000,29405385000                              `,VistaVogue Outlets,97,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,1,3131AC,3131AC,"Craig, Angelina",999,Completed,0.25,0,False,35,35,43312,43312,43284,43313,,,,26,Creative Solutions Accounting,43014.80921,156347,130,0.25,28,0.25,28,0,0,0,False,325089,False,"Craig, Angelina",3131AC,True,Review,35,7,False
25,61,215,10215,Taxation,999,1120S,1120S,7,23887591500,23887591500                              `,HarvestHive AgriBusiness,17,3,3: Other,41,OTHER,OTHER,Other Activity,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,0.25,0.15,False,68.75,68.75,42809,42809,42838,43083,,,,20,2015 UltraTax CS,42704.74273,132554,106,0.1,13,0.1,13,0,0,0.15,False,269224,False,"Mccoy, Ridwan",2247RM,True,Other,68.75,55.75,False
26,61,209,10209,Taxation,999,1120S,1120S,11,37285951500,37285951500                              `,TrustTide Banking,63,3,3: Other,41,OTHER,OTHER,Other Activity,1,70,3321MC,3321MC,"Cook, Milo",999,Completed,0.25,-0.25,True,87.5,87.5,44635,44635,44644,44963,,,,20,2020 UltraTax CS,44530.48109,379037,106,0.5,175,0.5,175,0,0,-0.25,False,727155,False,"Cook, Milo",3321MC,True,Other,87.5,-87.5,True
27,61,181,10181,Accounting,999,ACCOUNTING,ACCOUNTING,4,27956983500,27956983500                              `,WealthWave Advisors,92,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,92,4194AM,4194AM,"Murphy, Asia",999,Completed,5,4.2,False,700,700,43830,43830,43875,44012,,,,5,Creative Solutions Accounting,43476.37561,215210,81,0.8,132,0.8,132,0,0,4.2,False,445559,False,"Murphy, Asia",4194AM,True,Prepare,700,568,False
28,61,183,10183,Accounting,999,ACCOUNTING,ACCOUNTING,14,29405385000,29405385000                              `,VistaVogue Outlets,99,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,58,2994LL,2994LL,"Levy, Leroy",999,Completed,5,-7.7,True,850,850,43830,43830,43794,44012,,,,5,Creative Solutions Accounting,43476.40447,218569,81,12.7,1947.75,12.7,1947.75,0,0,-7.7,False,450043,False,"Levy, Leroy",2994LL,True,Prepare,850,-1097.75,True
29,61,3,10003,Outsourced CFO,999,COMPNODISC,COMPNODISC,6,30923067000,30923067000                              `,MarketMingle Stores,19,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,2,-5.9,True,0,400,41456,41456,41578,41578,,,,21,Creative Solutions Accounting,41414.90513,17051,99,7.9,1488.5,7.9,1488.5,0,0,-5.9,False,22805,False,"Mccoy, Ridwan",2247RM,True,Review,0,-1488.5,True
30,61,113,10113,Outsourced CFO,999,COMPNODISC,COMPNODISC,6,30923067000,30923067000                              `,MarketMingle Stores,19,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,2,-2,True,520,520,42094,42094,42060,42157,,,,21,Creative Solutions Accounting,41973.37647,54663,99,4,660,4,660,0,0,-2,False,97890,False,"Mccoy, Ridwan",2247RM,True,Review,520,-140,True
31,61,149,10149,Payroll,999,1099,1099,14,29405385000,29405385000                              `,VistaVogue Outlets,97,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,1,3131AC,3131AC,"Craig, Angelina",999,Completed,0.25,0.05,False,35,35,44228,44228,44224,44249,,,,30,Creative Solutions Accounting,44166.38992,300007,145,0.2,0,0.2,0,0,0,0.05,False,620106,False,"Craig, Angelina",3131AC,True,Review,35,35,False
32,61,156,10156,Payroll,999,1099,1099,14,29405385000,29405385000                              `,VistaVogue Outlets,97,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,1,3131AC,3131AC,"Craig, Angelina",999,Completed,0.25,0.15,False,35,35,43861,43861,43859,43920,,,,30,Creative Solutions Accounting,43801.72869,253694,145,0.1,0,0.1,0,0,0,0.15,False,538208,False,"Craig, Angelina",3131AC,True,Review,35,35,False
33,61,155,10155,Payroll,999,1099,1099,4,27956983500,27956983500                              `,WealthWave Advisors,66,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,61,2014HM,2014HM,"Moss, Haleema",999,Completed,0.25,0.05,False,35,35,43861,43861,43847,43920,,,,30,Creative Solutions Accounting,43801.69696,250081,145,0.2,0,0.2,0,0,0,0.05,False,533385,False,"Moss, Haleema",2014HM,True,Review,35,35,False
34,61,141,10141,Payroll,999,Q4PRW2S,Q4PRW2S,4,27956983500,27956983500                              `,WealthWave Advisors,66,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,61,2014HM,2014HM,"Moss, Haleema",999,Completed,0.25,0,False,30,30,42401,42401,42383,42429,,,,,Creative Solutions Accounting,42339.46869,96510,144,0.25,28.75,0.25,28.75,0,0,0,False,195863,False,"Moss, Haleema",2014HM,True,Review,30,1.25,False
35,61,193,10193,Accounting,999,VPACCOUNTIN,VPACCOUNTIN,26,25984038000,25984038000                              `,FutureFocus Group,101,1,1: Reconcile,52,RECONCILE,RECONCILE,Reconciliation,1,124,3024BC,3024BC,"Chapman, Beau",999,Completed,5,3.25,False,575,575,44561,44561,44510,44646,,,,46,Creative Solutions Accounting,44313.67218,354267,1571,1.75,201.25,1.75,201.25,0,0,3.25,False,688452,False,"Chapman, Beau",3024BC,True,Reconcile,575,373.75,False
36,61,164,10164,Accounting,999,ACCOUNTING,ACCOUNTING,14,29405385000,29405385000                              `,VistaVogue Outlets,99,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,92,4194AM,4194AM,"Murphy, Asia",999,Completed,1,-0.35,True,140,140,44196,44196,43959,44286,,,,6,Creative Solutions Accounting,43841.39969,260441,81,1.35,189,1.35,189,0,0,-0.35,False,548540,False,"Murphy, Asia",4194AM,True,Review,140,-49,True
37,61,193,10193,Accounting,999,VPACCOUNTIN,VPACCOUNTIN,26,25984038000,25984038000                              `,FutureFocus Group,101,4,4: Bookmanange,50,BOOKMANANGE,BOOKMANANGE,Book management,1,71,4193AB,4193AB,"Beasley, Anya",999,Completed,0,-0.5,True,0,0,44561,44561,44552,44646,,,,48,Other,44313.67218,354270,1571,0.5,150,0.5,150,0,0,-0.5,False,688455,False,"Beasley, Anya",4193AB,True,Bookmanange,0,-150,True
38,61,178,10178,Accounting,999,ACCOUNTING,ACCOUNTING,1,38684554500,38684554500                              `,LedgerLogic Accounting,93,3,3: Other,41,OTHER,OTHER,Other Activity,1,96,2027MC,2027MC,"Colon, Malachi",999,Completed,0,-1.5,True,0,0,43101,43101,43186,43220,,,,7,Other,42978.7551,136805,81,1.5,210,1.5,210,0,0,-1.5,False,276565,False,"Colon, Malachi",2027MC,True,Other,0,-210,True
39,61,161,10161,Payroll,999,1099,1099,14,29405385000,29405385000                              `,VistaVogue Outlets,97,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,1,3131AC,3131AC,"Craig, Angelina",999,Completed,0.25,0,False,28,35,43131,43131,43117,43160,,,,30,Creative Solutions Accounting,43014.80921,156350,145,0.25,28,0.25,28,0,0,0,False,325093,False,"Craig, Angelina",3131AC,True,Review,28,0,False
40,61,193,10193,Accounting,999,VPACCOUNTIN,VPACCOUNTIN,26,25984038000,25984038000                              `,FutureFocus Group,101,5,5: Prepare,39,PREPARE,PREPARE,Preparation,1,111,3592AH,3592AH,"Hudson, Alec",999,Completed,0,-19.59,True,0,0,44561,44561,44320,44646,,,,49,Other,44313.67218,354271,1571,19.59,2623.75,19.59,2623.75,0,0,-19.59,False,688456,False,"Hudson, Alec",3592AH,True,Prepare,0,-2623.75,True
41,61,142,10142,Payroll,999,Q4PRW2S,Q4PRW2S,4,27956983500,27956983500                              `,WealthWave Advisors,66,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,61,2014HM,2014HM,"Moss, Haleema",999,Completed,0.25,0,False,33.75,33.75,42766,42766,42740,42774,,,,,Creative Solutions Accounting,42704.75103,133402,144,0.25,33.75,0.25,33.75,0,0,0,False,270355,False,"Moss, Haleema",2014HM,True,Review,33.75,0,False
42,61,202,10202,Taxation,999,1120S,1120S,6,30923067000,30923067000                              `,MarketMingle Stores,16,3,3: Other,41,OTHER,OTHER,Other Activity,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,0.25,0.16,False,87.5,87.5,44635,44635,44659,44963,,,,20,2020 UltraTax CS,44530.46904,378308,106,0.09,13.95,0.09,13.95,0,0,0.16,False,725339,False,"Mccoy, Ridwan",2247RM,True,Other,87.5,73.55,False
43,61,191,10191,Accounting,999,VPACCOUNTIN,VPACCOUNTIN,14,29405385000,29405385000                              `,VistaVogue Outlets,99,1,1: Reconcile,52,RECONCILE,RECONCILE,Reconciliation,1,24,3446AV,3446AV,"Valentine, Angel",999,Completed,5,-154.03,True,500,500,44561,44561,44320,44646,,,,46,Creative Solutions Accounting,44309.82572,353899,1571,159.03,15324.6,159.03,15324.6,0,0,-154.03,False,687982,False,"Valentine, Angel",3446AV,True,Reconcile,500,-14824.6,True
44,61,162,10162,Payroll,999,1099,1099,4,27956983500,27956983500                              `,WealthWave Advisors,66,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,61,2014HM,2014HM,"Moss, Haleema",999,Completed,0.25,0,False,35,35,43131,43131,43125,43160,,,,30,Creative Solutions Accounting,43069.51913,170364,145,0.25,35,0.25,35,0,0,0,False,361987,False,"Moss, Haleema",2014HM,True,Review,35,0,False
45,61,158,10158,Payroll,999,1099,1099,4,27956983500,27956983500                              `,WealthWave Advisors,66,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,61,2014HM,2014HM,"Moss, Haleema",999,Completed,0.25,0,False,28.75,28.75,42037,42037,42035,42048,,,,30,Creative Solutions Accounting,42006.37869,68158,145,0.25,28.75,0.25,28.75,0,0,0,False,131346,False,"Moss, Haleema",2014HM,True,Review,28.75,0,False
46,61,191,10191,Accounting,999,VPACCOUNTIN,VPACCOUNTIN,14,29405385000,29405385000                              `,VistaVogue Outlets,99,5,5: Prepare,39,PREPARE,PREPARE,Preparation,1,24,3446AV,3446AV,"Valentine, Angel",999,Completed,0,-18.38,True,0,0,44561,44561,44321,44646,,,,49,Other,44309.82572,353903,1571,18.38,2268.93,18.38,2268.93,0,0,-18.38,False,687986,False,"Valentine, Angel",3446AV,True,Prepare,0,-2268.93,True
47,61,261,10261,Taxation,999,1065,1065,5,34283535000,34283535000                              `,HorizonBank Corp,15,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,3,-11.35,True,870,870,43906,43906,43875,44196,,,,14,2018 UltraTax CS,43788.93255,240400,59,14.35,1718.75,14.35,1718.75,0,0,-11.35,False,486676,False,"Mccoy, Ridwan",2247RM,True,Prepare,870,-848.75,True
48,61,242,10242,Taxation,999,1065,1065,17,20971824000,20971824000                              `,FarmForward Innovations,24,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,84,4380LH,4380LH,"Heath, Luis",999,Completed,3,2.56,False,540,540,44635,44635,44588,44805,,,,14,2020 UltraTax CS,44500.69576,371682,59,0.44,51.5,0.44,51.5,0,0,2.56,False,712986,False,"Heath, Luis",4380LH,True,Prepare,540,488.5,False
49,61,266,10266,Taxation,999,1065,1065,17,20971824000,20971824000                              `,FarmForward Innovations,24,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,84,4380LH,4380LH,"Heath, Luis",999,Completed,3,-1.31,True,450,450,43906,43906,43876,44211,,,,14,2019 UltraTax CS,43838.77479,257857,59,4.31,634,4.31,634,0,0,-1.31,False,544199,False,"Heath, Luis",4380LH,True,Prepare,450,-184,True
50,61,243,10243,Taxation,999,1065,1065,22,22422573000,22422573000                              `,InfinityItems Retail,8,1,1: Prepare,39,PREPARE,PREPARE,Preparation,1,84,4380LH,4380LH,"Heath, Luis",999,Completed,3,2.75,False,540,540,44635,44635,44606,44805,,,,14,2021 UltraTax CS,44605.15081,390235,59,0.25,45,0.25,45,0,0,2.75,False,746356,False,"Heath, Luis",4380LH,True,Prepare,540,495,False
51,61,211,10211,Taxation,999,1120S,1120S,18,23344078500,23344078500                              `,BeaconBridge Banking,9,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,76,4337JW,4337JW,"Ward, Jaime",999,Completed,0.75,-1,True,187.5,187.5,44635,44635,44594,44963,,,,19,2020 UltraTax CS,44530.51359,381511,106,1.75,315,1.75,315,0,0,-1,False,732134,False,"Ward, Jaime",4337JW,True,Review,187.5,-127.5,True
52,61,209,10209,Taxation,999,1120S,1120S,11,37285951500,37285951500                              `,TrustTide Banking,63,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,70,3321MC,3321MC,"Cook, Milo",999,Completed,0.75,0,False,262.5,262.5,44635,44635,44636,44963,,,,19,2020 UltraTax CS,44530.48109,379036,106,0.75,156.25,0.75,156.25,0,0,0,False,727154,False,"Cook, Milo",3321MC,True,Review,262.5,106.25,False
53,61,157,10157,Payroll,999,1099,1099,23,25616209500,25616209500                              `,BrightFutures Finance,87,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,74,3230IG,3230IG,"Gentry, Isobel",999,Completed,0.25,0.05,False,68.75,68.75,43861,43861,43860,43920,,,,30,Creative Solutions Accounting,43847.85686,265226,145,0.2,0,0.2,0,0,0,0.05,False,557623,False,"Gentry, Isobel",3230IG,True,Review,68.75,68.75,False
54,61,138,10138,Payroll,999,1099,1099,13,28361139000,28361139000                              `,PrimePulse Accountancy,69,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,1,3131AC,3131AC,"Craig, Angelina",999,Completed,0.25,-0.25,True,28,35,43131,43131,43124,43160,,,,30,Creative Solutions Accounting,43069.54773,172964,145,0.5,56,0.5,56,0,0,-0.25,False,365463,False,"Craig, Angelina",3131AC,True,Review,28,-28,True
55,61,199,10199,Taxation,999,1120S,1120S,6,30923067000,30923067000                              `,MarketMingle Stores,16,3,3: Other,41,OTHER,OTHER,Other Activity,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,0.25,-1.38,True,75,75,44270,44270,44253,44575,,,,20,2019 UltraTax CS,44165.4013,289586,106,1.63,244.5,1.63,244.5,0,0,-1.38,False,604129,False,"Mccoy, Ridwan",2247RM,True,Other,75,-169.5,True
56,61,185,10185,Accounting,999,ACCOUNTING,ACCOUNTING,26,25984038000,25984038000                              `,FutureFocus Group,101,2,2: Review,40,REVIEW,REVIEW,Reviewing,1,71,4193AB,4193AB,"Beasley, Anya",999,Completed,1,0.75,False,210,210,44196,44196,43876,44236,,,,6,Creative Solutions Accounting,43836.79164,257752,81,0.25,52.5,0.25,52.5,0,0,0.75,False,544024,False,"Beasley, Anya",4193AB,True,Review,210,157.5,False
57,61,198,10198,Taxation,999,1120S,1120S,7,23887591500,23887591500                              `,HarvestHive AgriBusiness,17,3,3: Other,41,OTHER,OTHER,Other Activity,1,75,2247RM,2247RM,"Mccoy, Ridwan",999,Completed,0.25,0.03,False,75,75,44270,44270,44288,44575,,,,20,2019 UltraTax CS,44165.39954,289391,106,0.22,33,0.22,33,0,0,0.03,False,603861,False,"Mccoy, Ridwan",2247RM,True,Other,75,42,False
