contact_KEY,update__staff_KEY,update_date_utc,name,company,title,salutation,url,phone_position,address_position,email_position,primary__contact_phone_type_KEY,primary__contact_address_type_KEY,mailing__contact_address_type_KEY,contact_type_KEY,contact_type__description,file_as,contact_guid,primary__contact_email_type_KEY,contact_id,contact_id_sortable,description,contact_status_KEY,client_KEY,staff_KEY,office_KEY,staff__office_KEY,client__office_KEY,portal_user_KEY,primary__contact_address__city,primary__contact_address__state_abbreviation,primary__contact_address__postal_code,mailing__contact_address__city,mailing__contact_address__state_abbreviation,mailing__contact_address__postal_code,is_primary_contact,is_preferred_contact,is_billing_contact,is_additional_contact,preferred_locale,time_zone_KEY,digita_entityid,digita_metadata
29,61,42509.7574,"Rios, Nate",,,,,,,,1,1,1,2,Staff,"Rios, Nate",78687942303,1,52270452489,52270452489                              `,"Rios, Nate",1,,57,,3,,,Pacifica Bluffs,OR,83420,Pacifica Bluffs,OR,83420,TRUE,TRUE,TRUE,FALSE,en-US,0,,
37,61,45239.92762,"Taylor, Stevie",Industry Advisors,Partner,,,,,,1,1,1,2,Staff,"Taylor, Stevie",40052693222,1,77133096061,77133096061                              `,"Taylor, Stevie",1,,56,,2,,,Crystal Lake,WA,83190,Crystal Lake,WA,83190,TRUE,TRUE,TRUE,FALSE,en-US,0,,
42,61,45042.68072,"Benton, Shannon",,,,,,,,1,1,1,2,Staff,"Benton, Shannon",59553936145,1,36400311067,36400311067                              `,"Benton, Shannon",1,,88,,1,,,Emerald Meadows,ID,84070,Emerald Meadows,ID,84070,TRUE,TRUE,TRUE,FALSE,en-US,0,,
44,61,44557.91854,"Lester, Floyd",Industry Advisors,Staff,,,,,,1,1,1,2,Staff,"Lester, Floyd",85948510991,1,78998132658,78998132658                              `,"Lester, Floyd",1,,66,,1,,,Whispering Pines,ID,83310,Whispering Pines,ID,83310,TRUE,TRUE,TRUE,FALSE,en-US,0,,
45,61,43439.89086,"Camacho, Phyllis",Industry Advisors,Partner,,,,,,1,1,1,2,Staff,"Camacho, Phyllis",82985901490,1,43253351695,43253351695                              `,"Camacho, Phyllis",1,,14,,1,,,Riverwood,ID,83310,Riverwood,ID,83310,TRUE,TRUE,TRUE,FALSE,en-US,0,,
46,61,43601.93328,"Mcclure, Cerys",,,,,,,2;,1,1,1,2,Staff,"Mcclure, Cerys",91021891996,1,18671325425,18671325425                              `,"Mcclure, Cerys",1,,17,,1,,,Whispering Pines,ID,84070,Whispering Pines,ID,84070,TRUE,TRUE,TRUE,FALSE,en-US,0,,
50,61,43818.95292,"Mcdaniel, Ella-Louise",Industry Advisors,Partner,,,,,2;,1,1,1,2,Staff,"Mcdaniel, Ella-Louise",15449826265,1,21857131026,21857131026                              `,"Mcdaniel, Ella-Louise",1,,19,,1,,,Frostpeak,ID,83020,Frostpeak,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
53,61,45049.82873,"Slater, Karim",Industry Advisors,Manager,,,,,,1,1,1,2,Staff,"Slater, Karim",80310943427,1,74467750141,74467750141                              `,"Slater, Karim",1,,133,,1,,,Emerald Meadows,ID,83310,Emerald Meadows,ID,83310,TRUE,TRUE,TRUE,FALSE,en-US,0,,
55,61,44336.82817,"Oliver, Jacqueline",Industry Advisors,Partner,,,,,,1,1,1,2,Staff,"Oliver, Jacqueline",92036307247,1,99350290392,99350290392                              `,"Oliver, Jacqueline",1,,89,,1,,,Frostpeak,ID,84070,Frostpeak,ID,84070,TRUE,TRUE,TRUE,FALSE,en-US,0,,
63,61,45042.67537,"Mccarthy, Cara",Industry Advisors,Staff Member,,,,,,1,1,1,2,Staff,"Mccarthy, Cara",94926198916,1,89935356104,89935356104                              `,"Mccarthy, Cara",1,,128,,1,,,Whispering Pines,ID,84070,Whispering Pines,ID,84070,TRUE,TRUE,TRUE,FALSE,en-US,0,,
66,61,44580.58435,"Connolly, Stacey",Industry Advisors,Staff,,,,,,1,1,1,2,Staff,"Connolly, Stacey",47616430144,1,45568416856,45568416856                              `,"Connolly, Stacey",1,,38,,1,,,Whispering Pines,ID,83020,Whispering Pines,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
67,61,44819.83097,"Cabrera, Jan",Industry Advisors,Staff Member,,,,,,1,1,1,2,Staff,"Cabrera, Jan",57016597030,1,40442598485,40442598485                              `,"Cabrera, Jan",1,,110,,1,,,Whispering Pines,ID,83020,Whispering Pines,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
69,61,45042.67853,"Hatfield, George",,,,,,,,1,1,1,2,Staff,"Hatfield, George",28842316366,1,15982991081,15982991081                              `,"Hatfield, George",1,,91,,1,,,Frostpeak,ID,84070,Frostpeak,ID,84070,TRUE,TRUE,TRUE,FALSE,en-US,0,,
70,61,45042.68051,"Atkinson, Bushra",Industry Advisors,Associate,,,,,,1,1,1,2,Staff,"Atkinson, Bushra",78600585332,1,46757842097,46757842097                              `,"Atkinson, Bushra",1,,116,,2,,,Crystal Lake,WA,83190,Crystal Lake,WA,83190,TRUE,TRUE,TRUE,FALSE,en-US,0,,
73,61,45152.80969,"Koch, Amin",Industry Advisors,Staff,,,,,,1,1,1,2,Staff,"Koch, Amin",64179371656,1,79960663511,79960663511                              `,"Koch, Amin",1,,99,,1,,,Frostpeak,ID,84070,Frostpeak,ID,84070,TRUE,TRUE,TRUE,FALSE,en-US,0,,
77,61,44953.00622,"Osborn, Minnie",,,,,,,,1,1,1,2,Staff,"Osborn, Minnie",91618087942,1,37417180315,37417180315                              `,"Osborn, Minnie",1,,45,,1,,,Frostpeak,ID,84660,Frostpeak,ID,84660,TRUE,TRUE,TRUE,FALSE,en-US,0,,
80,61,45042.67626,"Duffy, Julian",Industry Advisors,Manager,,,,,,1,1,1,2,Staff,"Duffy, Julian",13614720760,1,89853912102,89853912102                              `,"Duffy, Julian",1,,120,,1,,,Frostpeak,ID,84660,Frostpeak,ID,84660,TRUE,TRUE,TRUE,FALSE,en-US,0,,
84,61,44805.66068,"Chandler, Cain",,,,,,,,1,1,1,2,Staff,"Chandler, Cain",55926707720,1,14934322331,14934322331                              `,"Chandler, Cain",1,,41,,1,,,Emerald Meadows,ID,84070,Emerald Meadows,ID,84070,TRUE,TRUE,TRUE,FALSE,en-US,0,,
85,61,45042.68019,"Olson, Bushra",,,,,,,,1,1,1,2,Staff,"Olson, Bushra",92342818350,1,81234193116,81234193116                              `,"Olson, Bushra",1,,67,,1,,,Riverwood,ID,84660,Riverwood,ID,84660,TRUE,TRUE,TRUE,FALSE,en-US,0,,
89,61,45041.66935,"Gaines, Ajay",,,,,,,,1,1,1,2,Staff,"Gaines, Ajay",60707799344,1,40944430939,40944430939                              `,"Gaines, Ajay",1,,144,,1,,,Emerald Meadows,ID,83020,Emerald Meadows,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
95,61,45288.77638,"Gomez, Jacqueline",,,,,,,,1,1,1,2,Staff,"Gomez, Jacqueline",81470271871,1,87303732496,87303732496                              `,"Gomez, Jacqueline",1,,150,,1,,,Frostpeak,ID,83310,Frostpeak,ID,83310,TRUE,TRUE,TRUE,FALSE,en-US,0,,
98,61,44543.85213,"Baker, Lennon",,,,,,,,1,1,1,2,Staff,"Baker, Lennon",16576919242,1,33548153754,33548153754                              `,"Baker, Lennon",1,,32,,1,,,Frostpeak,ID,84660,Frostpeak,ID,84660,TRUE,TRUE,TRUE,FALSE,en-US,0,,
100,61,44557.94007,"Morrow, Jaydon",,,,,,,,1,1,1,2,Staff,"Morrow, Jaydon",92403803234,1,23791167190,23791167190                              `,"Morrow, Jaydon",1,,35,,2,,,Crystal Lake,WA,83190,Crystal Lake,WA,83190,TRUE,TRUE,TRUE,FALSE,en-US,0,,
101,61,44557.96499,"Robertson, Lula",Industry Advisors,Manager,,,,,,1,1,1,2,Staff,"Robertson, Lula",80868808571,1,37983907090,37983907090                              `,"Robertson, Lula",1,,36,,1,,,Frostpeak,ID,84750,Frostpeak,ID,84750,TRUE,TRUE,TRUE,FALSE,en-US,0,,
102,61,45343.69755,"Weaver, Mathew",,,,,,,,1,1,1,2,Staff,"Weaver, Mathew",88055878849,1,75788475679,75788475679                              `,"Weaver, Mathew",1,,129,,1,,,Frostpeak,ID,84660,Frostpeak,ID,84660,TRUE,TRUE,TRUE,FALSE,en-US,0,,
103,61,44575.74207,"Blankenship, Aimee",Industry Advisors,Associate,,,,,,1,1,1,2,Staff,"Blankenship, Aimee",26267007651,1,32155562891,32155562891                              `,"Blankenship, Aimee",1,,131,,1,,,Mount Vista,ID,83310,Mount Vista,ID,83310,TRUE,TRUE,TRUE,FALSE,en-US,0,,
104,61,45042.68501,"Harrington, John",,,,,,,,1,1,1,2,Staff,"Harrington, John",79976092624,1,52252318047,52252318047                              `,"Harrington, John",1,,40,,2,,,Crystal Lake,WA,83190,Crystal Lake,WA,83190,TRUE,TRUE,TRUE,FALSE,en-US,0,,
105,61,45042.68152,"Brooks, Janet",Industry Advisors,Manager,,,,,,1,1,1,2,Staff,"Brooks, Janet",29620094709,1,20245443232,20245443232                              `,"Brooks, Janet",1,,135,,2,,,Crystal Lake,WA,83190,Crystal Lake,WA,83190,TRUE,TRUE,TRUE,FALSE,en-US,0,,
107,61,45281.84941,"Dale, Patricia",Industry Advisors,Staff,,,,,,1,1,1,2,Staff,"Dale, Patricia",17985570800,1,77829730043,77829730043                              `,"Dale, Patricia",1,,147,,1,,,Riverwood,ID,84750,Riverwood,ID,84750,TRUE,TRUE,TRUE,FALSE,en-US,0,,
110,61,41803.60848,"Kramer, Kabir",Industry Advisors,Associate,,,,,,1,1,1,2,Staff,"Kramer, Kabir",85157056691,1,92728864199,92728864199                              `,"Kramer, Kabir",1,,54,,1,,,Riverwood,ID,83020,Riverwood,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
111,61,44936.99972,"Daniel, Iris",,,,,,,2;,1,1,1,2,Staff,"Daniel, Iris",72090910465,1,33200621421,33200621421                              `,"Daniel, Iris",1,,55,,1,,,Riverwood,ID,84750,Riverwood,ID,84750,TRUE,TRUE,TRUE,FALSE,en-US,0,,
113,61,45042.67434,"Brewer, Bryan",Industry Advisors,Staff,,,,,,1,1,1,2,Staff,"Brewer, Bryan",64908405304,1,44589844315,44589844315                              `,"Brewer, Bryan",1,,109,,1,,,Emerald Meadows,ID,84070,Emerald Meadows,ID,84070,TRUE,TRUE,TRUE,FALSE,en-US,0,,
115,61,44900.53736,"Sears, Jan",,,,,,,2;,1,1,1,2,Staff,"Sears, Jan",41086939920,1,55312659688,55312659688                              `,"Sears, Jan",1,,64,,1,,,Whispering Pines,ID,84660,Whispering Pines,ID,84660,TRUE,TRUE,TRUE,FALSE,en-US,0,,
116,61,45021.86683,"Farrell, Archie",,,,,,,,1,1,1,2,Staff,"Farrell, Archie",35155296164,1,25703690029,25703690029                              `,"Farrell, Archie",1,,115,,2,,,Crystal Lake,WA,83190,Crystal Lake,WA,83190,TRUE,TRUE,TRUE,FALSE,en-US,0,,
117,61,43950.69267,"Molina, William",,,,,,,2;,1,1,1,2,Staff,"Molina, William",62506785279,1,60117337417,60117337417                              `,"Molina, William",1,,21,,1,,,Mount Vista,ID,84750,Mount Vista,ID,84750,TRUE,TRUE,TRUE,FALSE,en-US,0,,
120,61,45042.68128,"Ward, Jaime",,,,,,,,1,1,1,2,Staff,"Ward, Jaime",87603348526,1,96532901963,96532901963                              `,"Ward, Jaime",1,,76,,1,,,Whispering Pines,ID,83310,Whispering Pines,ID,83310,TRUE,TRUE,TRUE,FALSE,en-US,0,,
121,61,44095.73396,"Reynolds, Fred",,,,,,,,1,1,1,2,Staff,"Reynolds, Fred",18295924181,1,77144057810,77144057810                              `,"Reynolds, Fred",1,,60,,1,,,Mount Vista,ID,84660,Mount Vista,ID,84660,TRUE,TRUE,TRUE,FALSE,en-US,0,,
122,61,44202.86778,"Green, Martin",,,,,,,,1,1,1,2,Staff,"Green, Martin",92870109769,1,86802504408,86802504408                              `,"Green, Martin",1,,27,,1,,,Emerald Meadows,ID,83020,Emerald Meadows,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
124,61,44558.08069,"Taylor, Diane",,,,,,,,1,1,1,2,Staff,"Taylor, Diane",33483486588,1,63978555817,63978555817                              `,"Taylor, Diane",1,,130,,1,,,Frostpeak,ID,84660,Frostpeak,ID,84660,TRUE,TRUE,TRUE,FALSE,en-US,0,,
127,61,44917.69527,"Terry, Katrina",,,,,,,,1,1,1,2,Staff,"Terry, Katrina",41778279549,1,40137425532,40137425532                              `,"Terry, Katrina",1,,138,,1,,,Whispering Pines,ID,83020,Whispering Pines,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
128,61,45205.68384,"Calhoun, Kelly",Industry Advisors,Partner,,,,,,1,1,1,2,Staff,"Calhoun, Kelly",75924819972,1,28025681277,28025681277                              `,"Calhoun, Kelly",1,,142,,1,,,Frostpeak,ID,84660,Frostpeak,ID,84660,TRUE,TRUE,TRUE,FALSE,en-US,0,,
129,61,45250.94418,"Pearson, Jessica",Industry Advisors,Associate,,,,,2;,1,1,1,2,Staff,"Pearson, Jessica",34353901601,1,55007998410,55007998410                              `,"Pearson, Jessica",1,,143,,1,,,Mount Vista,ID,84070,Mount Vista,ID,84070,TRUE,TRUE,TRUE,FALSE,en-US,0,,
132,61,45202.92002,"Adams, Rhiannon",Industry Advisors,Staff,,,,,2;,1,1,1,2,Staff,"Adams, Rhiannon",94063110827,1,11745425714,11745425714                              `,"Adams, Rhiannon",1,,148,,1,,,Whispering Pines,ID,83310,Whispering Pines,ID,83310,TRUE,TRUE,TRUE,FALSE,en-US,0,,
134,61,45042.67493,"Cantrell, Rihanna",Industry Advisors,Staff Member,,,,,,1,1,1,2,Staff,"Cantrell, Rihanna",62558432454,1,56958045443,56958045443                              `,"Cantrell, Rihanna",1,,80,,2,,,Crystal Lake,WA,83190,Crystal Lake,WA,83190,TRUE,TRUE,TRUE,FALSE,en-US,0,,
136,61,44202.85618,"Guzman, Eve",Industry Advisors,Manager,,,,,,1,1,1,2,Staff,"Guzman, Eve",65179332814,1,38695413509,38695413509                              `,"Guzman, Eve",1,,26,,1,,,Whispering Pines,ID,83310,Whispering Pines,ID,83310,TRUE,TRUE,TRUE,FALSE,en-US,0,,
137,61,45049.82907,"Harrell, Mustafa",Industry Advisors,Staff Member,,,,,2;,1,1,1,2,Staff,"Harrell, Mustafa",35864582111,1,18474378137,18474378137                              `,"Harrell, Mustafa",1,,112,,1,,,Emerald Meadows,ID,84750,Emerald Meadows,ID,84750,TRUE,TRUE,TRUE,FALSE,en-US,0,,
139,61,43832.87462,"Mclean, Florence",Industry Advisors,Manager,,,,,,1,1,1,2,Staff,"Mclean, Florence",81503836324,1,85306095641,85306095641                              `,"Mclean, Florence",1,,22,,1,,,Riverwood,ID,83020,Riverwood,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
140,61,45049.82981,"Gillespie, Annika",Industry Advisors,Associate,,,,,,1,1,1,2,Staff,"Gillespie, Annika",49610734764,1,51767601586,51767601586                              `,"Gillespie, Annika",1,,125,,1,,,Frostpeak,ID,83020,Frostpeak,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
144,61,45343.67441,"Wang, Daisy",,,,,,,,1,1,1,2,Staff,"Wang, Daisy",82294852763,1,17423211847,17423211847                              `,"Wang, Daisy",1,,97,,3,,,Pacifica Bluffs,OR,83420,Pacifica Bluffs,OR,83420,TRUE,TRUE,TRUE,FALSE,en-US,0,,
146,61,45049.82654,"Phillips, Amanda",,,,,,,,1,1,1,2,Staff,"Phillips, Amanda",47748638668,1,48692170017,48692170017                              `,"Phillips, Amanda",1,,132,,1,,,Frostpeak,ID,84070,Frostpeak,ID,84070,TRUE,TRUE,TRUE,FALSE,en-US,0,,
148,61,43465.86938,"Johnston, Ruben",Industry Advisors,Manager,,,,,,1,1,1,2,Staff,"Johnston, Ruben",24191384493,1,81304933330,81304933330                              `,"Johnston, Ruben",1,,16,,2,,,Crystal Lake,WA,83190,Crystal Lake,WA,83190,TRUE,TRUE,TRUE,FALSE,en-US,0,,
150,61,44690.93653,"Whitehead, Edie",,,,,,,,1,1,1,2,Staff,"Whitehead, Edie",58206098818,1,76216682002,76216682002                              `,"Whitehead, Edie",1,,39,,1,,,Mount Vista,ID,84750,Mount Vista,ID,84750,TRUE,TRUE,TRUE,FALSE,en-US,0,,
151,61,45049.83083,"Levy, Leonie",Industry Advisors,Partner,,,,,,1,1,1,2,Staff,"Levy, Leonie",25061374537,1,57612419566,57612419566                              `,"Levy, Leonie",1,,118,,1,,,Riverwood,ID,83020,Riverwood,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
153,61,44707.93346,"Bean, Elmer",,,,,,,,1,1,1,2,Staff,"Bean, Elmer",18852186369,1,60030191108,60030191108                              `,"Bean, Elmer",1,,37,,1,,,Riverwood,ID,84750,Riverwood,ID,84750,TRUE,TRUE,TRUE,FALSE,en-US,0,,
155,61,43950.68968,"Harmon, Cecily",Industry Advisors,Staff,,,,,2;,1,1,1,2,Staff,"Harmon, Cecily",35839257865,1,20167675085,20167675085                              `,"Harmon, Cecily",1,,20,,3,,,Pacifica Bluffs,OR,83420,Pacifica Bluffs,OR,83420,TRUE,TRUE,TRUE,FALSE,en-US,0,,
160,61,45042.68426,"Harrison, Lennox",Industry Advisors,Staff Member,,,,,,1,1,1,2,Staff,"Harrison, Lennox",42962572418,1,75380431891,75380431891                              `,"Harrison, Lennox",1,,136,,1,,,Mount Vista,ID,83310,Mount Vista,ID,83310,TRUE,TRUE,TRUE,FALSE,en-US,0,,
164,61,44894.6622,"Fischer, Conrad",,,,,,,,1,1,1,2,Staff,"Fischer, Conrad",69278882440,1,99828626646,99828626646                              `,"Fischer, Conrad",1,,42,,1,,,Riverwood,ID,84750,Riverwood,ID,84750,TRUE,TRUE,TRUE,FALSE,en-US,0,,
165,61,44917.83255,"Rose, Laila",,,,,,,,1,1,1,2,Staff,"Rose, Laila",92550196750,1,82215256690,82215256690                              `,"Rose, Laila",1,,139,,1,,,Mount Vista,ID,83310,Mount Vista,ID,83310,TRUE,TRUE,TRUE,FALSE,en-US,0,,
166,61,45141.5738,"Holloway, Lorenzo",,,,,,,,1,1,1,2,Staff,"Holloway, Lorenzo",95930040964,1,36022922570,36022922570                              `,"Holloway, Lorenzo",1,,140,,1,,,Riverwood,ID,83020,Riverwood,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
167,61,45042.67469,"Petersen, Keisha",,,,,,,,1,1,1,2,Staff,"Petersen, Keisha",10637332980,1,85665786917,85665786917                              `,"Petersen, Keisha",1,,127,,1,,,Mount Vista,ID,83020,Mount Vista,ID,83020,TRUE,TRUE,TRUE,FALSE,en-US,0,,
168,61,45042.68104,"Harris, Zohaib",,,,,,,,1,1,1,2,Staff,"Harris, Zohaib",56677800283,1,64083821552,64083821552                              `,"Harris, Zohaib",1,,98,,1,,,Mount Vista,ID,83310,Mount Vista,ID,83310,TRUE,TRUE,TRUE,FALSE,en-US,0,,
170,61,45118.57914,"Romero, Sulayman",Industry Advisors,Associate,,,,,,1,1,1,2,Staff,"Romero, Sulayman",75674315876,1,59511190270,59511190270                              `,"Romero, Sulayman",1,,146,,1,,,Whispering Pines,ID,84660,Whispering Pines,ID,84660,TRUE,TRUE,TRUE,FALSE,en-US,0,,
171,61,44202.75661,"Le, Alistair",,,,,,,,1,1,1,2,Staff,"Le, Alistair",17756964385,1,10645895898,10645895898                              `,"Le, Alistair",1,,25,,1,,,Whispering Pines,ID,84660,Whispering Pines,ID,84660,TRUE,TRUE,TRUE,FALSE,en-US,0,,
